taxonomy_id	name	rank	ZAF.39_ERR1713409_db6.diamond	ZMB.49b_ERR1713411_db6.diamond	ZMB.49_ERR1713410_db6.diamond	XK.60_ERR1713408_db6.diamond	VNM.48_ERR1713407_db6.diamond
39948	Dialister	genus	116258	105499	114369	146482	5420
1783272	Bacillati	kingdom	106654	72098	137437	181973	21155
28216	Betaproteobacteria	class	187761	352280	411650	213336	122678
52242	Lactobacillus gallinarum	species	20	8	372	7	2
239934	Akkermansia	genus	83834	24811	54867	23426	2759
200940	Thermodesulfobacteriota	phylum	14164	28949	33369	4593	7044
57001	Amaricoccus macauensis	species	256	130	177	196	48
1389223	Marinobacter shengliensis	species	95	57	94	55	33
91061	Bacilli	class	31601	7761	53987	126644	6392
34012	Azospirillum sp.	species	22	64	63	23	38
31953	Bifidobacteriaceae	family	16132	4369	10725	11083	300
2981640	Suilimivivens	genus	7091	12382	19628	3636	68
543	Enterobacteriaceae	family	43096	70108	41579	35454	318278
2569097	Anaerobutyricum	genus	14610	3003	16939	22618	168
39488	Anaerobutyricum hallii	species	8175	1858	7273	15235	116
356	Hyphomicrobiales	order	43710	18798	29398	32488	24170
83614	Luteimonas	genus	2951	8626	8875	3480	1415
3115820	Aquilutibacter rugosus	species	79	459	383	237	1116
108980	Acinetobacter ursingii	species	702	342	574	8885	4529
662	Vibrio	genus	1042	1172	1572	3765	18160
237258	Cloacibacterium normanense	species	4029	5053	5945	950	21085
1762	Mycobacteriaceae	family	20128	9485	9052	2750	9494
213115	Desulfovibrionales	order	7033	10436	16306	2046	4632
171552	Prevotellaceae	family	77271	166213	314378	394639	13270
186826	Lactobacillales	order	39830	4272	69434	248724	2771
266128	Stenotrophomonas koreensis	species	10883	2051	2757	8708	77468
2591382	Dysosmobacter sp.	species	3336	3450	4473	6712	165
237	Flavobacterium	genus	107034	52256	80489	467058	3363436
1873499	Xenophilus sp.	species	21	27	48	53	23
1913682	Cloacibacterium sp.	species	7131	12523	10789	2826	40154
310297	Phocaeicola plebeius	species	31078	9961	27587	24440	608
885	Desulfovibrio sp.	species	4525	8723	12472	1976	12281
3018035	Bdellovibrionota	phylum	244	237	464	645	76
33882	Microbacterium	genus	10574	4578	9135	29274	8250
1144680	Luteolibacter yonseiensis	species	48	51	68	41	70
2321111	Aliarcobacter	genus	23120	141010	121344	78155	5178
349	Zoogloea	genus	12500	47859	47921	4118	6114
1573535	Holdemanella	genus	20420	5838	10947	13225	173
41275	Brevundimonas	genus	10983	11260	11516	52594	354420
1955623	Propionicimonas sp.	species	401	126	325	259	100
33024	Phascolarctobacterium	genus	52044	96163	152769	68574	8281
1760	Actinomycetes	class	59747	36191	105195	91686	29501
85023	Microbacteriaceae	family	4176	1714	3347	11129	2400
29465	Veillonella	genus	22500	22196	76347	17319	17534
189330	Dorea	genus	27663	7580	23303	30191	367
2136325	Rudaea sp.	species	112	353	130	79	216
296	Pseudomonas fragi	species	272	73	52	122	12516
2008795	Azonexaceae	family	7535	27682	40002	3268	19139
1898956	Ottowia sp.	species	33321	15630	17674	96407	18655
872	Desulfovibrio	genus	51405	88911	131014	22188	84347
2974251	Segatella	genus	13345	24872	49754	138521	889
1680	Bifidobacterium adolescentis	species	3667	516	938	2778	56
2637926	unclassified Phycicoccus	no rank	1	2	3	3	0
28117	Alistipes putredinis	species	8310	5867	9414	6025	928
2684926	unclassified Acidovorax	no rank	12788	20649	24147	229260	10298
2093818	Candidatus Saccharimonadia	class	290	132	361	364	76
70584	Aquabacterium parvum	species	39	77	238	51	114
308865	Elizabethkingia	genus	3242	448	1211	823	936
47886	Pseudomonas luteola	species	45	23	46	21	18
343013	Paenacidovorax caeni	species	3062	14736	15238	1788	25742
2268024	Ephemeroptericola cinctiostellae	species	8624	9937	8317	1609	4208
649777	Synergistaceae	family	11154	19101	33026	3862	25309
853	Faecalibacterium prausnitzii	species	7224	3005	8568	29646	232
3376993	Vescimonas sanitatis	species	3003	2979	4054	4171	99
90244	Oligella ureolytica	species	9376	1740	6614	90	109
562	Escherichia coli	species	16660	21660	14202	20261	58278
306	Pseudomonas sp.	species	2154	2223	1854	9449	7996
2782232	Chryseobacterium group	no rank	21443	10106	19625	79033	95352
2841525	Pseudoflavonifractor sp. MSJ-30	species	3635	5831	6455	3785	72
712	Pasteurellaceae	family	7472	3847	13367	8696	2709
83683	Lactobacillus amylolyticus	species	247	11	670	4	1
418240	Blautia wexlerae	species	6391	4826	6888	5997	61
