taxonomy_id	name	rank	CAN.22	ISR.29	BRA.53	AUS.18	CAN.22b	CHE.67	DEU.27	ECU.14a	FIN.25	HRV.68	IRN.12	HUN.61	LVA.31	NLD.43	MKD.62	MYS.54	SGP.52	TCD.1	USA.74g	USA.74f	CIV.13	COL.2	DNK.71_RD	CAN.22a	CZE.23	CHN.64	AUS.18a	ESP.75	AUT.70	BWA.19	BGR.66	ALB.17	BRA.53a	CAN.22c	DNK.71_RL	IND.11	GEO.59	ETH.24	DNK.71_RA	ITA.30	ISL.28	IRL.69	NOR.34	MDA.65	KEN.72	KAZ.6	NGA.50	LKA.40	LUX.32	GHA.4	NPL.33	KHM.21	MLT.63	PER.35	SVN.38	USA.74a	POL.36	SVK.9	USA.74c	USA.74d	TUR.46	USA.74b	USA.74e	ZAF.39	ZMB.49b	SEN.8	SRB.37	SWE.41a	PAK.7	ZMB.49	SWE.41	XK.60	USA.74	USA.74i	ECU.14	VNM.48	NZL.56	TZA.15	TGO.44	USA.74h
82802	Trichococcus	genus	0.10450084862369302	0.024063160253666387	0.0006398849109677763	0.0017556153015644517	0.05942366024430013	0.02400520271888986	0.03895883793104201	0.0011871913619371976	0.03920670635136453	0.037949575277632805	0.0008333050987734459	0.020969354349318896	0.047155848436687756	0.00404479040276538	0.02487950689609895	0.0010297667448459426	0.0008441888261026684	0.0013853075019380034	0.004639728685547853	0.0029893819084231203	0.0009606137906642788	0.0022388515990096176	0.04181602122126398	0.05236363960498856	0.018887979288706808	0.0018274747497152917	0.002752655568915343	0.018028055452393034	0.019507482743811446	0.0009451194967144233	0.004080970701361191	0.018530050388015678	0.0008346789924659715	0.07133460999149642	0.04495534015356719	0.0006831470560973081	0.0024263695452839424	0.008985666182414276	0.0378766714206223	0.003437216240849902	0.012166585915091416	0.014916129025521136	0.004344150774648167	0.02105686739864135	0.003000393992129456	0.01758969277628524	0.0007766868765890866	0.001694055445574925	0.015908393909408385	0.0007624727834127798	0.11614097344220604	0.0007357253062978057	0.0006884846899380055	0.00088389364441329	0.0919769833874171	0.016837138498278545	0.04957825577268451	0.02304512693933622	0.0035807651841197087	0.014101006368027724	0.001374617606848594	0.020958012208395962	0.0023135040661935577	0.0019452476544013298	0.000774910534420501	0.00029483522678589184	0.04418634355646365	0.011260123381649783	0.006127809400218885	0.0007916088498304039	0.030787825165525563	0.05851099522201212	0.002775615306825642	0.011101533868964755	0.0004853245032073982	0.0001993207270195259	0.013501401743537044	0.0003313151059861975	0.0007122479329244606	0.019770406606931218
12916	Acidovorax	genus	0.07751950437582505	0.03532369710614924	0.18211645017904068	0.13557581980227365	0.14741087176235113	0.17056042689276302	0.0948540315764415	0.014224992746213241	0.16276615911957687	0.24855952285977498	0.1705832852102002	0.0892527827017359	0.08682581097097276	0.028052578599824407	0.18765625071449896	0.12622340119898107	0.12330041818644702	0.003903252277762101	0.07187241674287788	0.04897353155887824	0.07542345857432192	0.005947058168564556	0.18892450629169413	0.09808210203310778	0.1157761453812094	0.05230427839361936	0.0661390380455212	0.18372305000692432	0.09561874678542759	0.03942314230933273	0.20744120680160527	0.07578893253183402	0.02099470095229285	0.10808273977991432	0.15312816829256343	0.012433989432698647	0.03720947139765417	0.2808379029257602	0.1418275668460692	0.21439954281822055	0.18263413307690393	0.09110840318719754	0.12935072216774973	0.09038401744222253	0.15158206683938485	0.17286650198084427	0.01897041528130908	0.0028376220920378484	0.24301583720796985	0.036881960248911966	0.009858484601420607	0.00407038599310616	0.02510608951162943	0.051850635020981105	0.04482537075841321	0.07307726009178245	0.045437421630529835	0.20912702976549383	0.052257867429486175	0.10830825984156342	0.04422235000026058	0.05958371044332186	0.06275283129927692	0.07064878328413873	0.15344024959644403	0.0028355118705913627	0.2046815003108208	0.11982736027773382	0.0271101834742137	0.09781010702538802	0.1265846312425351	0.08538666273282414	0.09063589533039967	0.09504110733368172	0.049768200146393556	0.014155853485826876	0.037213022423267614	0.06277576249651545	0.0067933959837494975	0.13744344095158068
469	Acinetobacter	genus	0.07119848016036544	0.09761012859857142	0.07519016231852535	0.21625822977750492	0.05300817187183651	0.05869995448720757	0.0680588285397916	0.03435918075873201	0.0410980007289227	0.10460317573509126	0.09980996524238611	0.03980772608952554	0.07373343615493061	0.03682900193740131	0.14832704356500193	0.042841314642276127	0.050913640426000106	0.6265579438676384	0.06100748827281771	0.040948212034529176	0.05842721292276437	0.010685808399458598	0.07539237952075362	0.10011777250630367	0.12987505660468235	0.024547610029020273	0.054411156999076435	0.06827155140658585	0.16325118389876425	0.033997987045284186	0.19505427596151356	0.43749364183671235	0.011775669968954234	0.03343488272684111	0.06709777344767656	0.008117813849937214	0.35168630626313313	0.05390757731069962	0.049151624223813806	0.11661628405082117	0.12475710216563994	0.35882948072008114	0.1508245479120964	0.48434135908120723	0.06872852913528768	0.12454291934915167	0.025184953386791838	0.02440498230177877	0.12324704140209064	0.012874195720467973	0.013626572246791539	0.23594523103434428	0.23569819113372098	0.07047757009505909	0.0643945676644173	0.15891530182631813	0.04308097927542205	0.06609773098383107	0.029156115275096574	0.042788945117816356	0.20559849631113297	0.02898547113164893	0.11006195775449121	0.05517613809855549	0.03488609369146188	0.5659832928206058	0.20030424431577332	0.2218097322812673	0.032589142018850596	0.03657717905231781	0.10895361115039164	0.3933223372261069	0.038749286606443646	0.04147462349759945	0.20359873608132734	0.2123702688330456	0.13793976394631835	0.11692386584294136	0.11268328258628234	0.03854033525743816
299568	Uruburuella	genus	0.05145383556955571	0.022957984791947293	0.03898379236501779	0.013757753455977306	0.016696879513156737	0.006917834470908747	0.0500300301612019	0.0013634302101203706	0.009645141954948377	0.01216093409950791	0.010648483908614358	0.016243632124435074	0.02024195159363927	0.002595759402047296	0.00991267271277044	0.00245594362734429	0.0072652951144857965	0.0008248272014582867	0.036770806419472085	0.10931227118221795	0.03546935758230706	0.0009083870369810194	0.011847658099644706	0.01908649983899596	0.010712206672982805	0.0010421857177438766	0.035917705369389825	0.02612150622032187	0.008406472222456137	0.02822617940621744	0.005258380420087321	0.011960512571083175	0.0009489523206630513	0.009257240685956637	0.01600681828725896	0.0013495792471040328	0.0004795869833770433	0.037638757097941455	0.008105002749841581	0.004708343330177057	0.0017945988617766495	0.014055471000010138	0.0012058600848467026	0.00821072502548053	0.03118057471413314	0.005949718574637514	0.019255283916813352	0.00040603249362701157	0.011158976347736506	0.0008339164253434199	0.0023322152944724563	0.0005017959285173472	0.052240349293786695	0.058435622903849585	0.008239824502939187	0.0024469319096271157	0.01999240073254433	0.017870554437664946	0.08023428426935068	0.011532353520544865	0.0012729935325396812	0.0028130411611399287	0.08466449337995327	0.06252943369698837	0.008035455215503381	0.004608103678954996	0.01072359119854444	0.004848439832336911	0.0148347657694997	0.020152138580532428	0.012878533451701738	0.017048853581388836	0.0059521373910477815	0.028469946923693205	0.0019350047586451568	0.00023084530325260782	0.0006848940199731387	0.005580521633777611	0.0002656657908164733	0.07162908536245959
237	Flavobacterium	genus	0.04236832363643983	0.013258881104562819	0.005808753081063145	0.04122382877828821	0.020752476598749223	0.050355698144790066	0.018094318730302945	0.016573494240634163	0.02998320098128122	0.054536678461167505	0.03213523274556194	0.021341765278908957	0.03399453120494155	0.03855368880382353	0.08256186499415662	0.010257329960074592	0.00971879344275108	0.002968145387552018	0.016939347490561047	0.011194534539100572	0.004981926987227588	0.004944318333212121	0.03193016876265301	0.048686730704306326	0.03890027301184766	0.02673479672399009	0.007328486468858833	0.030862121077582752	0.060751545467901534	0.009691806367617222	0.08857522993357796	0.02348838964594216	0.0077498780555456045	0.020474016330254	0.03547728497462446	0.005116443581661291	0.12931402396393407	0.00669119193332768	0.04757602815490844	0.12386824206904497	0.09857362969332946	0.06575164518560361	0.14373243333683974	0.016945465795589757	0.006459423311454883	0.05564236805203067	0.004789464763022362	0.0005806982926544898	0.036693721063544245	0.008921388136458513	0.006893821771638643	0.0029905466448658614	0.0075126513508467765	0.01276710371102226	0.015825972912489474	0.019410343499753943	0.01889775206153614	0.023569116035629133	0.008597292339654165	0.018964624586200223	0.2544448285506322	0.03999691666899245	0.01306053079479056	0.01687575907955391	0.010003547922226406	0.0012792556632154378	0.04163317503619801	0.07665035687621674	0.005672289021687127	0.010147898679206496	0.051102184166920826	0.02609539473364313	0.01853685983906663	0.007317251023831574	0.4196477205199997	0.1002781698463786	0.17818412411227222	0.004968203782438484	0.01112686144180591	0.02411750918349169
497	Psychrobacter	genus	0.03259832510319683	0.0073388164868640506	0.005727977764375393	0.05206522429451489	0.0038307628408343116	0.021659360119099445	0.0038495390643256975	0.0013215272671957	0.010572086197939673	0.00822747772541885	0.00293358321043215	0.0057484150178060975	0.006854136564039865	0.005337616412917785	0.0014684382538984696	0.0017906652667526812	0.002060202444001062	0.002584112589075175	0.0067927113033292245	0.006654740892246995	0.007415161788574771	0.0020358579250236365	0.012239475940313299	0.018104876583995642	0.003951993991880556	0.0012151100066691285	0.0061015227668202625	0.0024109783069204875	0.004070667573948349	0.0031810989648889737	0.004764117166404978	0.009120903364516736	0.0013646291097397303	0.006652371742421299	0.010118291573919337	0.0007454479168894828	0.0010420822605467083	0.004167999285626772	0.008955166551187891	0.001377499939963568	0.0011667190642978959	0.028825017098078335	0.005133020369529281	0.0023582370643239576	0.0039934361682796475	0.00844818543252572	0.0034814264293630613	0.0008305286916988727	0.004269492789734802	0.0012743462215476981	0.00681566355950626	0.02681429386301801	0.01974844175952442	0.008757162773884138	0.025963246411924656	0.0027513893118779596	0.010174466785273402	0.006010284661040428	0.006885058546890275	0.0016878120749055313	0.05669250987143252	0.015130915310731985	0.0028864923803905403	0.003918340311283923	0.001715560051180567	0.011789378253014023	0.0017355851904373991	0.007656381526446852	0.001217826719892721	0.0020537825059101654	0.021919329049294594	0.005595888496211145	0.006309347818374356	0.047170807862418646	0.00375683147318747	0.009786434183592601	0.2686402366114928	0.002423652411039983	0.0005574906003130584	0.003458705575937491
83618	Pseudoxanthomonas	genus	0.025186313061820315	0.006178825612018118	0.003941369153651424	0.006253889959142198	0.00793314506231923	0.011126713809585694	0.05359936052136728	0.011253757179840389	0.011035722380363286	0.01724929034661927	0.006550542275196061	0.0236196681518389	0.022646533189566435	0.0024239339124250505	0.012012483072499025	0.01670131627899148	0.012270104525595077	0.00038241103834814	0.0035247844933728443	0.017249933516708144	0.008995723970692893	0.0009365770272174999	0.010957996459689395	0.01127028288800024	0.005938286249243196	0.006491733981331646	0.003627680151753908	0.005026985370798504	0.010992682854444652	0.020164069097028534	0.008167533753291632	0.004991820219036103	0.004664271461430409	0.004458331714173012	0.012001431399095286	0.0036878486086745006	0.0005614537156898582	0.005679151102922482	0.013275269381736695	0.006532280189379111	0.0015883239190236055	0.00491146352023447	0.003746916359611026	0.008797624875644604	0.0030317511362513414	0.006253846064430363	0.018517504400547623	0.0004260172355089654	0.009348493514013049	0.016426828881674217	0.005398265868383057	0.0033724509885720644	0.003923555487084105	0.005924604544243904	0.01335970463547185	0.0014956683024699984	0.018336714924570414	0.017224197538806447	0.005446309997158484	0.001628324271430572	0.00036362309802293405	0.005321902415231655	0.004896310994959743	0.020784290355872842	0.013723095404021087	0.0030979879573107055	0.010743881023557904	0.00636007256543581	0.016224716787107574	0.011601510304245041	0.007760033592713665	0.005005512890303769	0.00647591483228328	0.0075558495797035255	0.0018599481520301425	0.006957930306488377	0.0016521167045095216	0.001622416870842288	0.0010551767700745682	0.010470418122973436
286	Pseudomonas	genus	0.02391442520586982	0.032784453703950014	0.006046867282770241	0.02012966530473993	0.02376245654243136	0.012060248452555893	0.013550700740161573	0.009734863530213782	0.011935104387456787	0.009812804825598419	0.005734028654769742	0.008766668263626057	0.013194929046604692	0.014775154401741777	0.007071416579511404	0.006858969113091808	0.007905678967633521	0.020781234289198754	0.010580415018370249	0.018552425930285207	0.008627707907153611	0.011835934256823683	0.011556122083727288	0.05269233297641319	0.024197972177530974	0.008332562831893259	0.009661055555970455	0.007156238178169342	0.0536713309153508	0.01606468655773019	0.008829253347053234	0.06457106589464388	0.00893878924990292	0.07215804799386578	0.010259744431023727	0.008385427022139248	0.23543486936397412	0.015185980410882122	0.014795520995253008	0.008806640576737017	0.008422973527042906	0.019958990717589345	0.011083993316256868	0.020674687169581422	0.0063406717293781525	0.015390598113874152	0.007060069104896017	0.8146473919394269	0.01188894173241275	0.009239894309710053	0.011349483752131087	0.009239135992179928	0.027014951624441452	0.012972822807328976	0.0064229768134711485	0.05749934755744928	0.015571911820424063	0.011697466736137389	0.011238636425048689	0.02401825512902534	0.16498857814891316	0.016698662870979875	0.011382035311083467	0.01315022431575389	0.010852440829682883	0.2146606270444722	0.007630713332920667	0.008605935322017706	0.006928791542335128	0.008035576626580327	0.015956008372102298	0.0055325645035096006	0.008257510519968625	0.01034268282284569	0.08642755182660697	0.08750328537997329	0.13360881189072799	0.005678757637625357	0.006634823192059891	0.009278722734956604
32068	Sebaldella	genus	0.02360640623581262	0.00941696553158456	0.005451581778502499	0.004494675783813536	0.014169358514496343	0.004544863827301407	0.010090134163840192	0.0033576933803209693	0.006698771749659758	0.008050760774274291	0.010648334651029049	0.005002954374870247	0.006979225988655248	0.001390224416034534	0.005781398921996638	0.0007140315839632076	0.0013634711735815133	0.0002756992218794902	0.02147262041056314	0.025240751952746332	0.001754548596423758	0.0032022026808809436	0.004957300712085845	0.016326589733847506	0.022473708444050184	0.0003201589092732574	0.026980132087636884	0.016260789665340784	0.003096617895779628	0.011260795922190417	0.00081315290692896	0.00272728598219868	0.00038007974041211255	0.008633616112899364	0.002810175132263288	0.00034534313923167026	0.00011863385254999508	0.03954724638063834	0.0038653008196589565	0.0013600664358884153	0.0005206607301282355	0.0011630478580422882	0.0005834741825023169	0.005590646302337028	0.0067658726253022085	0.003868238191635543	0.002833352891322772	7.535472969654268e-05	0.0013588389975611466	0.00033734774578590227	0.0019804042800387936	0.0005604820441974622	0.011785785212889468	0.02292595021861443	0.004463164392115682	0.0013361455067666937	0.007465918559564144	0.005216221555365323	0.031025571083550522	0.005312863718163493	0.0003368707776065706	0.0019204367697854825	0.018985111516390624	0.011185253117928331	0.005451496763819411	0.0012994547924010291	0.0027853098832768233	0.0008447619119573525	0.0026031676985147087	0.006940991494500976	0.005762443587175143	0.002908826691321007	0.007248443151135373	0.008547864495437396	0.000765022455155286	5.7878787041481734e-05	0.0004517725420553208	0.0010540215610411654	0.00016756224451779954	0.023658349124798222
219181	Ottowia	genus	0.017263031437491704	0.008111068924739244	0.010295694066421227	0.013445392383089528	0.008770782866506888	0.031409142407382934	0.055289130392051945	0.0096227115359154	0.029355257779502604	0.012069121509505946	0.007412952603104528	0.02915472939523148	0.025753334349326827	0.00656933870617244	0.00912166112596543	0.021658909680590935	0.04339285067150558	0.00045052496375366113	0.008336509326813138	0.014635789108586527	0.01503117349382397	0.0030697483431944665	0.01085932751981712	0.011037411990957032	0.0124878696916695	0.007093064615627671	0.011159052832565353	0.01046986152889231	0.02072091612667028	0.03285042568807435	0.01381593349903447	0.005947439958895681	0.006479418632931245	0.01602823265629637	0.011741106232717851	0.004639076385647705	0.0010295835227890266	0.014567940209107955	0.008344828723194121	0.005160380485751844	0.0066029933121506505	0.004046672108523403	0.010144819642918437	0.007945005051782153	0.00934912757401844	0.006252789332360201	0.07013202946737075	0.0010447837151309825	0.018345158259304148	0.017792103374770003	0.003154362419431538	0.005064270929491744	0.006213943744151317	0.017131089716852243	0.01990416600849865	0.014814021902176719	0.018569832549418182	0.021495463515277237	0.010524773098267813	0.011578258638733113	0.0010778753098665684	0.005051280313330224	0.014123841150464462	0.031538684249801316	0.011051535359303878	0.005170346552428619	0.011360691703967201	0.017882028476507533	0.005893473839557347	0.009560495683009559	0.026309668407639347	0.011783312104398036	0.017056566401002504	0.012936452793998587	0.0013947298922234981	0.001810507070087464	0.0019094527861323023	0.0020008792868818565	0.005216281754772409	0.016930789980741132
