taxonomy_id	name	rank	AUS.18a_ERR1713333_db8	AUS.18_ERR1713332_db8	BRA.53_ERR1713336_db8	BWA.19_ERR1713338_db8	CAN.22a_ERR1713340_db8	CAN.22_ERR1713339_db8	CAN.22b_ERR1713341_db8	CHE.67_ERR1713343_db8	DEU.27_ERR1713348_db8	FIN.25_ERR1713356_db8	ECU.14a_ERR1713353_db8	ESP.75_ERR1713354_db8	IRN.12_ERR1713364_db8	HRV.68_ERR1713360_db8	ISR.29_ERR1713366_db8	ISL.28_ERR1713365_db8	HUN.61_ERR1713361_db8	LVA.31_ERR1713373_db8	MKD.62_ERR1713375_db8	MLT.63_ERR1713376_db8	NLD.43_ERR1713379_db8	MYS.54_ERR1713377_db8	SGP.52_ERR1713387_db8	POL.36_ERR1713383_db8	TCD.1_ERR1713393_db8	USA.74g_ERR1713404_db8	USA.74f_ERR1713403_db8	AUT.70_ERR1713334_db8	CIV.13_ERR1713345_db8	COL.2_ERR1713346_db8	CZE.23_ERR1713347_db8	BGR.66_ERR1713335_db8	ALB.17_ERR1713331_db8	BRA.53a_ERR1713337_db8	CAN.22c_ERR1713342_db8	DNK.71_RL_ERR1713351_db8	DNK.71_RD_ERR1713350_db8	GEO.59_ERR1713357_db8	DNK.71_RA_ERR1713349_db8	IND.11_ERR1713362_db8	CHN.64_ERR1713344_db8	ETH.24_ERR1713355_db8	GHA.4_ERR1713358_db8	IRL.69_ERR1713363_db8	KEN.72_ERR1713369_db8	KAZ.6_ERR1713368_db8	KHM.21_ERR1713370_db8	MDA.65_ERR1713374_db8	NGA.50_ERR1713378_db8	LUX.32_ERR1713372_db8	NOR.34_ERR1713380_db8	ITA.30_ERR1713367_db8	LKA.40_ERR1713371_db8	NPL.33_ERR1713381_db8	SEN.8_ERR1713386_db8	PAK.7_ERR1713384_db8	PER.35_ERR1713385_db8	SVK.9_ERR1713389_db8	SRB.37_ERR1713388_db8	SWE.41_ERR1713391_db8	SWE.41a_ERR1713392_db8	SVN.38_ERR1713390_db8	TUR.46_ERR1713395_db8	USA.74b_ERR1713399_db8	USA.74a_ERR1713398_db8	USA.74c_ERR1713400_db8	USA.74_ERR1713397_db8	USA.74e_ERR1713402_db8	USA.74d_ERR1713401_db8	USA.74i_ERR1713406_db8	ZMB.49_ERR1713410_db8	ZMB.49b_ERR1713411_db8	XK.60_ERR1713408_db8	ZAF.39_ERR1713409_db8	ECU.14_ERR1713352_db8	NZL.56_ERR1713382_db8	TZA.15_ERR1713396_db8	TGO.44_ERR1713394_db8	USA.74h_ERR1713405_db8	VNM.48_ERR1713407_db8
1596	Lactobacillus gasseri	species	1	0	2	0	0	0	2	1	0	0	1	0	1	1	1	0	0	8	1	0	0	1	0	1	0	0	0	1	1	0	0	0	2	0	1	0	1	0	2	1	0	0	0	0	1	0	0	2	0	1	0	0	0	2	0	2	1	0	2	3	1	4	0	1	1	1	2	2	3	3	1	0	3	1	0	0	0	0	3	0
729	Haemophilus parainfluenzae	species	1	2	4	0	1	0	9	0	1	4	1	2	3	1	0	1	1	5	4	0	0	2	3	2	0	1	0	2	3	0	2	1	1	1	3	2	8	0	2	9	2	1	0	3	15	3	1	6	2	5	3	2	8	1	1	10	4	2	4	13	5	2	0	2	2	2	4	2	3	3	5	4	5	2	1	3	16	1	3	1
293	Brevundimonas diminuta	species	2	1	1	1	0	1	1	1	3	2	2	2	3	3	1	1	0	2	1	5	0	1	1	3	0	1	1	2	2	1	1	0	2	1	1	3	2	0	2	1	2	2	1	7	2	1	1	2	2	5	1	2	3	1	6	2	2	2	3	2	2	3	2	1	1	3	2	5	1	4	2	1	1	3	1	2	1	4	4	20
216816	Bifidobacterium longum	species	1	2	4	19	1	0	6	4	2	19	11	3	4	7	5	2	2	4	10	6	0	19	2	14	0	3	9	15	7	16	10	3	18	3	25	15	55	1	16	68	2	36	2	28	32	5	14	5	31	10	3	7	12	186	42	42	3	12	18	56	10	27	1	2	6	20	10	18	22	11	11	9	16	21	1	2	10	1	47	0
1036780	Bosea robiniae	species	1	0	1	0	0	0	0	1	1	2	2	0	0	2	0	0	0	0	1	0	0	1	2	1	0	0	1	1	1	0	1	0	0	0	3	1	2	0	1	1	1	1	0	1	1	1	0	0	0	2	1	1	0	2	1	1	0	1	1	1	1	1	0	0	1	1	2	0	3	4	1	0	1	1	2	1	1	0	1	0
1037355	Parabacteroides chartae	species	3	9	4	6	2	2	8	3	4	9	24	22	21	14	1	2	2	15	27	70	4	2	6	19	1	4	2	3	28	5	26	12	7	121	6	10	12	1	19	85	48	11	56	3	24	85	8	32	3	4	2	132	1	10	8	187	9	23	9	24	6	7	22	4	3	24	15	11	2	27	15	38	4	1	8	11	162	1036	179	17
1623	Ligilactobacillus ruminis	species	2	1	5	1	1	0	2	1	3	1	5	1	4	0	1	1	0	3	1	1	0	8	2	2	0	1	1	2	3	9	1	0	5	2	2	2	7	0	4	37	0	28	1	2	19	2	2	3	12	1	1	1	5	205	18	90	19	1	2	3	1	2	0	2	1	2	1	2	3	2	4	0	15	2	1	1	5	0	3	0
1584	Lactobacillus delbrueckii	species	1	0	1	2	0	0	1	2	1	4	1	3	2	1	2	1	0	2	1	1	0	3	1	1	0	1	2	3	1	1	2	1	5	0	1	3	5	0	4	99	0	7	1	1	2	1	4	17	3	3	2	1	1	5	2	7	1	1	1	4	4	7	0	1	3	5	15	11	9	1	47	0	6	3	1	1	201	0	2	1
1358	Lactococcus lactis	species	18	1	1	1	0	0	8	1	0	25	3	4	1	3	2	1	0	3	1	1	0	2	1	1	0	1	1	3	2	3	2	1	2	1	2	1	4	0	9	127	6	10	1	2	10	3	1	2	3	3	4	2	75	5	1	1	4	6	3	4	7	8	0	2	18	3	16	3	60	2	16	1	11	2	1	1	4	0	8	0
40214	Acinetobacter johnsonii	species	37	630	79	14	19	22	147	57	52	64	18	206	341	174	31	288	8	54	455	1156	10	14	20	73	336	27	26	410	17	16	555	743	3144	22	200	217	484	1747	201	14	79	472	19	1934	219	617	14	3204	14	708	334	1146	128	43	10611	58	130	149	682	324	591	155	639	30	294	33	133	125	145	212	40	42	3018	77	2080	510	223	54	395	3311
1977884	Acinetobacter sp. ANC 4204	species	1	4	20	1	0	0	1	1	0	0	0	1	4	1	0	3	0	0	3	4	0	1	1	1	4	0	0	4	0	0	3	6	6	0	2	1	2	6	2	1	2	18	1	12	39	4	2	9	1	3	1	3	2	0	69	2	2	1	7	2	4	1	3	1	4	1	2	3	2	1	1	2	4	2	9	3	139	1	2	84
1308	Streptococcus thermophilus	species	1	1	2	1	0	1	1	2	2	9	2	1	3	2	2	2	1	2	6	1	0	0	1	4	0	1	2	9	1	3	3	2	14	0	5	9	15	1	46	2	1	1	0	5	2	2	0	2	1	8	3	1	1	3	2	4	5	2	42	25	12	54	1	1	22	5	7	7	20	2	2	1	46	3	1	1	0	1	6	0
1304	Streptococcus salivarius	species	2	1	4	2	1	1	4	1	2	1	19	4	1	2	3	1	2	1	3	2	0	6	3	4	0	1	3	5	4	14	3	0	4	1	10	2	10	2	4	5	1	5	0	6	14	2	4	3	23	4	1	1	2	53	8	15	17	2	7	8	3	22	1	1	7	13	5	9	11	4	12	5	17	17	1	1	5	1	22	0
1613	Limosilactobacillus fermentum	species	1	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	5	2	0	1	0	0	1	1	1	0	1	15	1	5	1	0	2	3	2	4	2	0	0	1	0	3	0	0	1	0	0	1	1	2	0	1	1	1	1	1	2	1	49	1	1	1	0	0	3	0	1	0
33038	Mediterraneibacter gnavus	species	2	1	1	2	0	0	0	1	2	2	2	1	3	1	1	1	0	1	2	1	1	8	2	2	0	3	2	4	2	1	1	2	1	0	4	3	4	0	3	4	2	5	0	4	3	3	1	0	7	5	1	0	0	14	2	2	4	3	4	5	2	4	0	2	2	11	3	5	7	2	6	1	8	3	0	0	2	0	4	0
108980	Acinetobacter ursingii	species	2	1	3	2	0	0	1	0	1	1	3	1	1	0	0	1	0	1	1	5	0	1	2	1	1	0	1	1	0	1	1	2	3	2	2	0	0	1	0	2	0	3	0	3	2	2	1	4	5	3	0	1	2	0	7	2	1	1	1	2	5	2	1	1	4	1	1	2	2	4	2	2	3	1	1	1	2	1	1	42
108981	Acinetobacter schindleri	species	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1	0	2	0	2	0	1	91	1	1	0	5	1	1	0	1	1	0	1	1	0	1	1	0	3	1	0	1	1	1	9	1	3	1	1	2	1	734	6	6	1	1	2	0	2	0	0	0	1	0	0	0	0	5	4	2	1	2	0	3	12	0	13
