sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
SGP.52,ERR1713387,ILLUMINA,00-reads/ERR1713387_R1.fastq.gz,00-reads/ERR1713387_R2.fastq.gz,
SRB.37,ERR1713388,ILLUMINA,00-reads/ERR1713388_R1.fastq.gz,00-reads/ERR1713388_R2.fastq.gz,
SVK.9,ERR1713389,ILLUMINA,00-reads/ERR1713389_R1.fastq.gz,00-reads/ERR1713389_R2.fastq.gz,
SVN.38,ERR1713390,ILLUMINA,00-reads/ERR1713390_R1.fastq.gz,00-reads/ERR1713390_R2.fastq.gz,
SWE.41,ERR1713391,ILLUMINA,00-reads/ERR1713391_R1.fastq.gz,00-reads/ERR1713391_R2.fastq.gz,
SWE.41a,ERR1713392,ILLUMINA,00-reads/ERR1713392_R1.fastq.gz,00-reads/ERR1713392_R2.fastq.gz,
TCD.1,ERR1713393,ILLUMINA,00-reads/ERR1713393_R1.fastq.gz,00-reads/ERR1713393_R2.fastq.gz,
TGO.44,ERR1713394,ILLUMINA,00-reads/ERR1713394_R1.fastq.gz,00-reads/ERR1713394_R2.fastq.gz,
TUR.46,ERR1713395,ILLUMINA,00-reads/ERR1713395_R1.fastq.gz,00-reads/ERR1713395_R2.fastq.gz,
TZA.15,ERR1713396,ILLUMINA,00-reads/ERR1713396_R1.fastq.gz,00-reads/ERR1713396_R2.fastq.gz,
