genus	sum_abundance	ALB.17	AUS.18	AUS.18a	AUT.70	BGR.66	BRA.53	BRA.53a	BWA.19	CAN.22	CAN.22a	CAN.22b	CAN.22c	CHE.67	CHN.64	CIV.13	COL.2	CZE.23	DEU.27	DNK.71_RA	DNK.71_RD	DNK.71_RL	ECU.14	ECU.14a	ESP.75	ETH.24	FIN.25	GEO.59	GHA.4	HRV.68	HUN.61	IND.11	IRL.69	IRN.12	ISL.28	ISR.29	ITA.30	KAZ.6	KEN.72	KHM.21	LKA.40	LUX.32	LVA.31	MDA.65	MKD.62	MLT.63	MYS.54	NGA.50	NLD.43	NOR.34	NPL.33	NZL.56	PAK.7	PER.35	POL.36	SEN.8	SGP.52	SRB.37	SVK.9	SVN.38	SWE.41	SWE.41a	TCD.1	TGO.44	TUR.46	TZA.15	USA.74	USA.74a	USA.74b	USA.74c	USA.74d	USA.74e	USA.74f	USA.74g	USA.74h	USA.74i	VNM.48	XK.60	ZAF.39	ZMB.49	ZMB.49b
Sinomicrobium	0.0001129020633602238	1.896666570568894e-07	0	1.528346237670067e-06	0	3.186653784087636e-07	4.815933805953024e-07	4.930061280661719e-06	8.513373445511217e-07	0	0	0	2.65815596012394e-07	0	1.432762102660878e-05	1.612652224290897e-06	1.65716009160781e-06	1.18114810844298e-06	0	7.250276649841881e-07	1.582285616319631e-07	1.092103057397114e-06	7.313066947800461e-07	2.856001816417156e-06	8.673914589697818e-07	1.976937443175404e-07	0	0	1.130210050986963e-05	0	3.692809914456058e-06	1.064204523082064e-06	3.021931973490807e-07	1.745760986815839e-07	1.477884638689719e-07	0	4.158864371646031e-06	6.808739527839446e-07	7.183332140900198e-07	1.247009848527495e-06	4.19395656730191e-08	1.133135231078001e-07	0	2.38030431476573e-07	6.157558372113978e-07	1.00556766054181e-06	3.797313097198684e-07	1.858536272587798e-06	1.270486596366408e-05	3.934987190960863e-07	6.927067446777609e-07	2.514793181073624e-07	4.308309058704481e-06	2.130264994313968e-06	3.039004713800212e-06	0	3.243266618137788e-06	1.527409205450896e-07	6.871446460094189e-07	1.734510603496947e-06	4.773303410448914e-07	1.261398151370553e-07	6.280732408767652e-07	2.333122231518875e-06	1.423876095441276e-07	7.795291285480171e-07	3.347246722208648e-06	7.09621977276485e-07	7.433317829556146e-06	5.258526701045745e-07	0	2.059970266389175e-07	0	9.316339088657078e-07	1.402598949849414e-06	1.243983341285941e-06	1.767418474641504e-07	0	0	4.186223306547086e-07	9.68623070018533e-07
Sinomonas	0.0002154398943414966	3.603666484080897e-06	5.123113541516175e-07	7.641731188350334e-07	3.795526630268832e-07	0	1.203983451488256e-06	1.189014779453709e-05	3.831018050480048e-06	0	0	2.404025299962257e-07	5.183404122241681e-06	2.635501683558476e-06	6.07838467795524e-06	7.055353481272673e-06	3.977184219858744e-06	4.576948920216545e-06	5.827675631574346e-07	8.286030456962151e-07	1.424057054687667e-06	2.730257643492786e-06	1.462613389560093e-07	4.760003027361926e-06	2.023913404262824e-06	1.285009338064013e-06	1.543371495030895e-06	0	1.535926479546386e-05	9.074399184030026e-07	1.107842974336817e-05	2.837878728218837e-06	6.043863946981614e-07	1.745760986815839e-07	5.911538554758877e-07	1.840935784477966e-06	1.238810663894562e-06	1.276638661469896e-06	2.442332927906068e-06	5.52247218633605e-06	4.19395656730191e-07	1.926329892832603e-06	1.481211571817284e-06	1.309167373121151e-06	8.210077829485304e-07	3.351892201806033e-07	1.898656548599342e-06	6.195120908625993e-06	7.940541227290051e-06	6.558311984934771e-07	7.042518570890569e-06	1.437024674899213e-07	4.577578374873511e-06	1.065132497156984e-06	2.73510424242019e-06	5.841784523171528e-07	6.486533236275577e-06	4.582227616352687e-07	1.603337507355311e-06	3.469021206993894e-06	1.718389227761609e-06	1.261398151370553e-06	0	1.166561115759438e-06	4.271628286323827e-07	8.574820414028188e-07	4.277037478377716e-06	1.182703295460808e-06	1.221187929141367e-05	8.764211168409576e-07	2.841559440717167e-06	6.179910799167525e-07	1.618420211478969e-06	0	6.600465646350186e-07	1.954830964877908e-05	1.413934779713203e-07	8.392907590226695e-08	1.123468957569667e-06	1.255866991964126e-06	1.291497426691377e-06
Sinorhizobium	0.0005907792555232085	3.413999827024009e-06	4.866957864440366e-06	6.8775580695153e-06	5.693289945403248e-06	5.098646054540217e-06	3.371153664167117e-06	1.885023430841245e-05	3.235081909294263e-05	3.423490967974954e-06	1.400446462332191e-05	2.404025299962257e-06	1.076553163850195e-05	6.852304377252036e-06	2.279394254233215e-05	6.652190425199949e-06	1.060582458628998e-05	4.429305406661173e-06	5.244908068416912e-06	3.832289086344995e-06	4.351285444878984e-06	3.276309172191343e-06	7.678720295190485e-07	1.761201120123912e-05	4.047826808525649e-06	4.74464986362097e-06	5.953004337976309e-06	3.201583545909588e-07	9.85311326501455e-06	6.654559401622019e-06	9.232024786140146e-06	6.739961979519739e-06	4.835091157585291e-06	6.633891749900186e-06	7.389423193448596e-07	3.681871568955932e-06	4.95524265557825e-06	2.383058834743806e-06	5.602999069902155e-06	1.140123290082281e-05	1.090428707498496e-06	9.178395371731811e-06	3.94989752484609e-06	1.428182588859438e-06	4.72079475195405e-06	3.351892201806033e-06	6.075700955517895e-06	1.022194949923289e-05	3.335027315461822e-05	3.14798975276869e-06	7.61977419145537e-06	6.46661103704646e-07	1.225175388569087e-05	6.390794982941903e-06	1.884182922556131e-05	1.707598552927062e-06	1.261270351498029e-05	2.749336569811612e-06	8.932880398122445e-06	4.707957352348856e-06	6.300760501792567e-06	2.648936117878162e-06	0	1.646909810483912e-06	9.255194620368292e-07	2.72835194991806e-06	3.049713680234545e-05	6.623138454580527e-06	1.539758693265202e-05	7.186653158095853e-06	6.926301136748094e-06	9.269866198751286e-06	5.664470740176392e-06	5.589803453194247e-06	3.960279387810112e-06	1.652720724851322e-05	7.776641288422617e-07	3.02144673248161e-06	1.067295509691184e-05	8.372446613094172e-06	7.748984560148264e-06
Sinosporangium	8.32958758271819e-06	0	2.561556770758088e-07	0	0	0	0	0	0	0	0	0	0	0	2.1708516706983e-07	0	6.62864036643124e-07	0	5.827675631574346e-07	0	0	1.820171762328524e-07	0	4.760003027361926e-07	0	0	0	0	0	0	0	0	1.007310657830269e-07	0	0	3.681871568955932e-06	0	0	0	0	0	0	0	0	0	0	3.797313097198684e-07	3.097560454312997e-07	0	0	1.154511241129602e-07	0	1.346346580845151e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.309512735397247e-07	0	0	0	0	0	8.250582057937733e-08	5.331357176939747e-07	0	8.392907590226695e-08	0	0	0
Siphonobacter	0.0003495401372608594	5.689999711706681e-07	2.561556770758088e-07	1.528346237670067e-06	1.138657989080649e-06	1.911992270452581e-06	4.815933805953024e-07	1.073013337555786e-05	2.979680705928926e-06	1.711745483987477e-06	0	1.923220239969806e-06	1.727801374080561e-06	5.271003367116951e-06	5.144918459554971e-05	1.00790764018181e-06	8.285800458039049e-06	2.952870271107449e-06	1.165535126314869e-06	3.728713705632968e-06	1.02848565060776e-06	1.274120233629967e-06	2.559573431730161e-07	2.380001513680963e-06	8.673914589697818e-07	2.965406164763107e-07	4.409632842945414e-07	1.280633418363835e-06	1.999602397900012e-05	6.049599456020017e-07	7.385619828912117e-06	6.030492297465029e-06	1.007310657830269e-06	1.047456592089503e-06	3.694711596724298e-06	3.681871568955932e-06	1.283053901890797e-05	7.659831968819378e-07	7.183332140900198e-07	6.413193506712832e-06	1.258186970190573e-07	1.133135231078001e-06	9.874743812115223e-07	3.570456472148595e-07	1.231511674422796e-06	6.703784403612066e-07	1.898656548599342e-06	2.168292318019098e-06	3.970270613645026e-05	5.377815827646512e-06	1.385413489355522e-06	6.825867205771264e-07	2.288789187436755e-06	7.100883314379892e-07	3.342905185180233e-06	2.696208241463782e-07	9.3694368968425e-06	9.164455232705374e-07	1.832385722691784e-06	5.327425425026337e-06	2.100253500597522e-06	3.279635193563438e-06	0	5.009350673555233e-06	1.423876095441276e-07	9.354349542576204e-07	5.578744537014412e-06	3.784650545474587e-06	6.689986046600532e-05	0	7.103898601792917e-07	4.11994053277835e-07	8.092101057394845e-07	9.316339088657078e-07	1.567610591008169e-06	3.731950023857824e-06	3.534836949283007e-08	2.517872277068008e-07	8.426017181772503e-07	6.279334959820628e-07	1.291497426691377e-06
Skermanella	0.001472602294737373	2.930349851528941e-05	2.04924541660647e-06	6.113384950680267e-06	6.262618939943572e-06	5.576644122153362e-06	1.252142789547786e-05	7.424092281467059e-05	4.043852386617828e-05	2.738792774379963e-05	3.080982217130821e-05	6.250465779901868e-06	7.708652284359423e-06	7.906505050675427e-06	0.0001033325395252	1.935182669149076e-05	9.611528531325297e-06	7.23453216421325e-06	2.214516739998252e-05	8.596756599098231e-06	6.329142465278523e-06	6.91665269684839e-06	3.693098808639233e-06	3.950802512710398e-05	6.071740212788473e-06	7.512362284066536e-06	4.850596127239956e-06	4.268778061212784e-07	3.94124530600582e-05	5.747119483219016e-06	5.539214871684087e-06	1.33025565385258e-05	2.81039673534645e-05	4.888130763084347e-06	3.251346205117383e-06	2.209122941373559e-05	1.044140416711131e-05	5.276773134075571e-06	1.494133085307241e-05	2.975009210058453e-05	8.807308791334011e-07	1.586389323509202e-05	1.234342976514403e-05	2.261289099027443e-06	6.568062263588243e-06	2.849108371535128e-06	2.240414727347224e-05	4.987072331443925e-05	2.540973192732817e-05	2.229826074877822e-06	1.59322551275885e-05	1.472950291771694e-06	1.52137163635502e-05	1.118389122014833e-05	1.124431744106078e-05	8.897487196830481e-06	2.522540702996057e-05	3.879619381845276e-05	5.405537881940762e-05	7.061936028523283e-06	4.677837342239935e-06	2.901215748152273e-06	1.884219722630295e-06	1.338114221018179e-05	4.841178724500337e-06	7.171667982641757e-06	0.0001061821043545	7.332760431857012e-06	2.123805094158899e-05	1.612614854987362e-05	4.972729021255042e-06	1.17418305184183e-05	1.861183243200814e-05	2.515411553937411e-05	1.501605934544667e-05	2.061458108416702e-05	1.166496193263392e-06	1.233757415763324e-05	2.050330847564642e-05	5.232779133183857e-05	8.975907115505073e-05
Skermania	5.446358747147028e-06	0	0	0	0	0	0	2.90003604744807e-07	4.256686722755609e-07	0	0	0	0	0	1.95376650362847e-06	2.015815280363621e-07	0	1.476435135553725e-07	0	0	7.911428081598154e-08	1.820171762328524e-07	0	4.760003027361926e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.133135231078001e-07	0	0	0	0	3.797313097198684e-07	3.097560454312997e-07	0	0	0	0	0	0	0	0	0	1.527409205450896e-07	0	0	9.546606820897829e-08	0	0	0	0	7.79529128548017e-08	1.859581512338137e-07	0	0	1.752842233681915e-07	0	0	0	0	1.650116411587547e-07	0	3.534836949283007e-08	0	0	0	0
Slackia	0.02065867636843249	0.0001754416577776	3.637410614476485e-05	0.0001765239904508	0.0001899661078449	2.119124766418278e-05	0.0002080483404171	0.0001972024512264	0.0005061200513356	0.0001163986929111	0.0001708544684045	0.0001370294420978	0.0001772990025402	0.0002013523286238	2.778690138493824e-05	0.0002223444254241	0.0013220823210847	0.0001014310938125	0.0002348553279524	0.0002054935553326	0.0004171696027426	0.0003192581271124	6.069845566674383e-06	0.0014932129496834	0.0001448543736479	0.0009943006870449999	0.0001876298774673	5.335972576515979e-06	4.897576887610173e-05	0.0001070779103715	0.0002548038840974	0.0002694211117602	0.0001737610884757	2.531353430882966e-05	3.487807747307738e-05	0.0002540491382579	2.663442927373309e-05	3.472457159198118e-05	0.000461744590017	0.0005964269961242	1.090428707498496e-05	0.000125098129511	0.0002562496019243	8.557194011582798e-05	7.265918879094494e-05	4.877003153627778e-05	0.0003675799078088	0.0004039218832424	0.0001079913606911	3.738237831412819e-05	0.0012375205993668	9.340660386844888e-06	0.000501918005339	0.0002662831242892	0.0004719574320531	0.0002627005563266	6.198242870218885e-05	0.0001124173175211	9.963597367136576e-05	0.0002730615264362	0.0002263500477234	0.0001062097243454	9.421098613151475e-06	1.084215625235242e-05	4.342822091095891e-06	8.715135657166832e-05	0.0002049258826596	0.0004290847555931	8.866886268113403e-05	0.000417527020063	0.0004583790572806	0.0002939577570137	0.0005737299649692	0.0001984380225883	0.0003358811955786	0.0002198296275958	1.661373366163014e-06	7.964869303125133e-05	0.0008316478958409	0.0002829886955225	0.00070160597705
Smaragdicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smithella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
