herramienta	muestra	Aitchison	JSD	BrayCurtis	Spearman	F1
bracken_db2	ALB.17	81.1390002166988	0.10556851757417879	0.27828301362959806	0.32607067149014574	0.27367055771725035
bracken_db2	AUS.18	83.2945901822524	0.17433775586599276	0.3838899240165235	0.3086233403564779	0.21875
bracken_db2	AUS.18a	93.72571915048891	0.22018917799546084	0.48173934512218086	0.2927813731253558	0.21174764321972445
bracken_db2	AUT.70	88.62625477371502	0.13169935160929205	0.328837300445932	0.32612061271970066	0.26748133061778684
bracken_db2	BGR.66	81.31081842696693	0.15972321463721	0.40867220961268014	0.30636246837877606	0.24055944055944056
bracken_db2	BRA.53	85.06861411136241	0.24073993748758454	0.45981479236844947	0.316780085131228	0.2585330428467683
bracken_db2	BRA.53a	108.00168746893189	0.2996527628962316	0.6040728453349581	0.2999722354286002	0.24605678233438485
bracken_db2	BWA.19	106.47873425652274	0.18495763990002334	0.4484065768448289	0.30061893543958135	0.24481327800829875
bracken_db2	CAN.22	104.74036033892686	0.26692812884659445	0.5570889801570917	0.25014572424882137	0.14705882352941177
bracken_db2	CAN.22a	103.61056279511354	0.24463749274895102	0.5387616784686121	0.22724079233415398	0.13277310924369748
bracken_db2	CAN.22b	90.7966653063192	0.20394227495404832	0.4675057039185003	0.3119884995490908	0.2454308093994778
bracken_db2	CAN.22c	100.62331710129018	0.2718321573095977	0.566239283447356	0.3513803361335939	0.31873015873015875
bracken_db2	CHE.67	99.09408784398566	0.24003034168194035	0.5449649546493932	0.30167244509910107	0.22358554873892297
bracken_db2	CHN.64	110.84054587357971	0.26897759079932626	0.5310300735477872	0.3184794478056254	0.2753894080996885
bracken_db2	CIV.13	97.96284236071676	0.1895834747970282	0.42160697990660434	0.3237531612484333	0.2751592356687898
bracken_db2	COL.2	96.03811618344609	0.20220913926266473	0.501882242228042	0.3111373810325219	0.25413533834586466
bracken_db2	CZE.23	92.6634396915381	0.22544476671815245	0.501320792844411	0.3132536094103704	0.25681969394544246
bracken_db2	DEU.27	101.14390226329763	0.21640449907122727	0.4660795922040431	0.3102529408541201	0.22623178348369188
bracken_db2	DNK.71_RA	98.00241228078366	0.2559326058404928	0.5474373066687963	0.31383716004682927	0.2873065015479876
bracken_db2	DNK.71_RD	90.58295736263413	0.2393898717257265	0.5179511576762823	0.33467111056629656	0.31157635467980294
bracken_db2	DNK.71_RL	95.40704701281115	0.23717669063718663	0.5125426696835705	0.3284403341390334	0.27934426229508197
bracken_db2	ECU.14	65.96135031803993	0.1072836288152186	0.33254439799883206	0.31415120263222435	0.24603174603174602
bracken_db2	ECU.14a	106.63633494866085	0.220768171567865	0.48748104219957816	0.3137002267394646	0.25336927223719674
bracken_db2	ESP.75	100.31804406627758	0.2603516010011007	0.5581890275472305	0.3242472258807931	0.2520478890989288
bracken_db2	ETH.24	90.05495514693322	0.13147184557657576	0.33482716162773307	0.3009643100489314	0.27863362357669125
bracken_db2	FIN.25	95.39473536506338	0.22109103944056263	0.48909859356972235	0.32231188092348034	0.2673726009265387
bracken_db2	GEO.59	58.09211786284632	0.08778977001041693	0.3081233948315446	0.2948749290284145	0.2016057091882248
bracken_db2	GHA.4	108.26027299562129	0.26871846182962567	0.5315176148139927	0.2838352589654353	0.21896792189679218
bracken_db2	HRV.68	90.68872979205601	0.21054878449576414	0.507256323436393	0.32255939344281254	0.25159010600706716
bracken_db2	HUN.61	107.26951205813872	0.2486089199525463	0.5213326701291832	0.30056067622167376	0.21330902461257975
bracken_db2	IND.11	94.44511719114531	0.20342849285077197	0.455307494539727	0.2980151705721279	0.2570332480818414
bracken_db2	IRL.69	82.78943289612904	0.1388929852458966	0.3435614699314128	0.3343204225303445	0.2806297056810404
bracken_db2	IRN.12	87.43135211673223	0.19203270084114935	0.4314040131273268	0.2966376939089242	0.2440775305096913
bracken_db2	ISL.28	80.64057662880172	0.12399967003202512	0.3007495247969286	0.29935082253372364	0.2359796067006555
bracken_db2	ISR.29	102.80682067416313	0.19331421310177066	0.4333702510519759	0.28362023780807516	0.19936204146730463
bracken_db2	ITA.30	83.40116874573876	0.21859402067276026	0.5322745235436057	0.3286185478822392	0.2749185667752443
bracken_db2	KAZ.6	82.55064175920224	0.1961323498679316	0.4286101078827753	0.3320861247029907	0.2802721088435374
bracken_db2	KEN.72	93.31352013254418	0.20990591829498476	0.4371008953642913	0.3213401360163414	0.28553379658875555
bracken_db2	KHM.21	93.9976492009716	0.2138208122002053	0.5496683350644715	0.3221284890363234	0.2671232876712329
bracken_db2	LKA.40	52.94371043362691	0.028562946303496196	0.1252124066575082	0.3460072871613696	0.25345247766043866
bracken_db2	LUX.32	87.97288489396126	0.20461268942497796	0.5092671245726358	0.36140225444534246	0.31705770450221943
bracken_db2	LVA.31	99.75448687478017	0.21409206388221302	0.46077683930778446	0.3176828258585609	0.24034334763948498
bracken_db2	MDA.65	75.367324143643	0.08480547983852328	0.23392944130229532	0.33427172623826673	0.26514611546685674
bracken_db2	MKD.62	87.25198786639393	0.1827752875398356	0.45265296561563306	0.3128511840888756	0.25540823447313327
bracken_db2	MLT.63	84.22760994902642	0.13109496984513508	0.3088840225642058	0.3179062687204155	0.2653061224489796
bracken_db2	MYS.54	96.4970586851779	0.15761658664521516	0.4053431155542327	0.29800515199681304	0.23809523809523808
bracken_db2	NGA.50	105.12265457009387	0.19029723315519415	0.4422402468110656	0.32548499937062814	0.2747893713545042
bracken_db2	NLD.43	109.68212337333681	0.35794740710244977	0.6639274228012624	0.23070914699129572	0.12842809364548494
