name	rank	AUS.18a	AUS.18	BRA.53	BWA.19	CAN.22a	CAN.22	CAN.22b	CHE.67	DEU.27	FIN.25	ECU.14a	ESP.75	IRN.12	HRV.68	ISR.29	ISL.28	HUN.61	LVA.31	MKD.62	MLT.63	NLD.43	MYS.54	SGP.52	POL.36	TCD.1	USA.74g	USA.74f	AUT.70	CIV.13	COL.2	CZE.23	BGR.66	ALB.17	BRA.53a	CAN.22c	DNK.71_RL	DNK.71_RD	GEO.59	DNK.71_RA	IND.11	CHN.64	ETH.24	GHA.4	IRL.69	KEN.72	KAZ.6	KHM.21	MDA.65	NGA.50	LUX.32	NOR.34	ITA.30	LKA.40	NPL.33	SEN.8	PAK.7	PER.35	SVK.9	SRB.37	SWE.41	SWE.41a	SVN.38	TUR.46	USA.74b	USA.74a	USA.74c	USA.74	USA.74e	USA.74d	USA.74i	ZMB.49	ZMB.49b	XK.60	ZAF.39	ECU.14	NZL.56	TZA.15	TGO.44	USA.74h	VNM.48
Aminomonas	genus	0.0	0.0	0.0	0.0035252643948296123	0.0	0.0030120481927710845	0.0	0.0	0.0	0.0	0.000792393026941363	0.0	0.0004317789291882556	0.0	0.0	0.0	0.0	0.00149812734082397	0.0	0.00022988505747126436	0.0	0.001486988847583643	0.0030241935483870967	0.0004904364884747426	0.0	0.0013908205841446453	0.002036659877800407	0.0	0.00047824007651841227	0.007637752318603383	0.0	0.0	0.00015422578655151142	0.002785515320334262	0.00026068821689259646	0.0	0.0	0.0	0.0	0.0008718395815170009	0.0014054813773717498	0.00020165355918531962	0.004392386530014641	0.0	0.00030432136335970786	0.00019817677368212446	0.020793950850661626	0.0	0.001658374792703151	0.00018583906337112061	0.0	0.0	0.0002827654460624912	0.0	0.00012444001991040318	0.003470319634703196	0.0	0.0003720238095238095	0.0	0.00016969285593076533	0.0	0.00013631406761177754	0.0	0.0	0.0	0.0007952286282306163	0.0	0.0010167768174885613	0.0	0.0	0.0007363770250368188	0.0021810250817884407	0.0	0.0	0.0	0.0	0.0002625705658395694	0.0026954177897574125	0.0001322401481089659	0.0003219834178539805
Anaerobutyricum	genus	0.0057692307692307696	0.0	0.005161290322580645	0.0035252643948296123	0.0	0.0030120481927710845	0.0008442380751371887	0.0009940357852882703	0.003048780487804878	0.0015408320493066256	0.002377179080824089	0.0013863216266173752	0.0008635578583765112	0.002380952380952381	0.002544529262086514	0.0010422094841063053	0.01	0.0022471910112359553	0.001381692573402418	0.0004597701149425287	0.0	0.0022304832713754648	0.0010080645161290322	0.004413928396272682	0.0	0.004172461752433936	0.004073319755600814	0.0030075187969924814	0.00047824007651841227	0.0010911074740861974	0.0017709563164108619	0.0006821282401091405	0.0013880320789636028	0.0006963788300835655	0.0023461939520333683	0.0032822757111597373	0.0019838954370404948	0.0	0.0012259910093992644	0.0008718395815170009	0.0007027406886858749	0.0018148820326678765	0.0	0.002459592410400562	0.002434570906877663	0.00039635354736424893	0.0003780718336483932	0.0007093456286575634	0.0012437810945273632	0.001858390633711206	0.0010515247108307045	0.00020483408439164277	0.00042414816909373674	0.007849506022465827	0.00043554006968641115	0.001095890410958904	0.00174433092449539	0.0011160714285714285	0.004696060527002348	0.0013575428474461226	0.0005065856129685917	0.002044711014176663	0.0002896032435563278	0.001597444089456869	0.0028044871794871795	0.0015904572564612327	0.003131524008350731	0.0020335536349771225	0.001971900419028839	0.0030959752321981426	0.0033136966126656848	0.0016357688113413304	0.0027193189879404114	0.005078720162519045	0.0	0.00016998130205677376	0.0002625705658395694	0.0	0.0005289605924358636	0.0
Anaeromassilibacillus	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.00042211903756859433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerostipes	genus	0.0057692307692307696	0.001243008079552517	0.004516129032258065	0.010575793184488837	0.00546448087431694	0.006024096385542169	0.0029548332629801602	0.004970178926441352	0.01524390243902439	0.003852080123266564	0.010301109350237718	0.004158964879852125	0.002158894645941278	0.0035714285714285713	0.005089058524173028	0.0020844189682126106	0.016666666666666666	0.00299625468164794	0.0037996545768566492	0.00022988505747126436	0.00558659217877095	0.006691449814126394	0.0030241935483870967	0.007356547327121138	0.0	0.016689847009735744	0.008146639511201629	0.005112781954887218	0.001912960306073649	0.002182214948172395	0.0038370720188902006	0.0010231923601637107	0.0007711289327575571	0.0006963788300835655	0.007038581856100104	0.006291028446389497	0.004434589800443459	0.0	0.0036779730281977932	0.0017436791630340018	0.004216444132115249	0.0030248033877797943	0.0014641288433382138	0.002459592410400562	0.005477784540474742	0.00039635354736424893	0.0003780718336483932	0.001241354850150736	0.008291873963515755	0.004088459394164653	0.0014020329477742728	0.0006145022531749283	0.0	0.010285559615644877	0.0013688402190144351	0.002191780821917808	0.00398704211313232	0.004092261904761905	0.007044090790503522	0.004412014254199898	0.001519756838905775	0.007088331515812432	0.0002896032435563278	0.003194888178913738	0.00641025641025641	0.019085487077534793	0.007828810020876827	0.011692933401118455	0.007394626571358146	0.005159958720330237	0.005891016200294551	0.0021810250817884407	0.005438637975880823	0.013204672422549517	0.00015135462388375965	0.00025497195308516065	0.0007877116975187081	0.0005989817310572028	0.003438243850833113	0.0
Anaerotignum	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003454231433506045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016969285593076533	0.00025329280648429586	0.0	0.0	0.0	0.0	0.00039761431411530816	0.0	0.0005083884087442806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001322401481089659	0.0
Anaerotruncus	genus	0.0	0.0	0.0012903225806451613	0.0	0.0	0.0	0.00042211903756859433	0.002982107355864811	0.0010162601626016261	0.0011556240369799693	0.0	0.0009242144177449168	0.0004317789291882556	0.0	0.002544529262086514	0.0005211047420531526	0.0033333333333333335	0.00149812734082397	0.0034542314335060447	0.00022988505747126436	0.0	0.001486988847583643	0.0	0.00196174595389897	0.0	0.0	0.0	0.0018045112781954887	0.00047824007651841227	0.0	0.0005903187721369539	0.0010231923601637107	0.0006169031462060457	0.0006963788300835655	0.0005213764337851929	0.0032822757111597373	0.0019838954370404948	0.0	0.001021659174499387	0.0008718395815170009	0.0007027406886858749	0.001008267795926598	0.0	0.0008784258608573436	0.0015216068167985392	0.0007927070947284979	0.0003780718336483932	0.0008866820358219542	0.0012437810945273632	0.0020442296970823266	0.0014020329477742728	0.00040966816878328555	0.0001413827230312456	0.0016240357287860333	6.222000995520159e-05	0.0007305936073059361	0.00174433092449539	0.001488095238095238	0.0013044612575006521	0.002036314271169184	0.0007598784194528875	0.0008178844056706652	0.0	0.0	0.0008012820512820513	0.0	0.0005219206680584551	0.0005083884087442806	0.0009859502095144195	0.0013759889920880633	0.0022091310751104565	0.0016357688113413304	0.0020099314258689997	0.0015236160487557136	0.0	8.499065102838688e-05	0.00039385584875935406	0.0	0.0006612007405448294	0.0
Ancylobacter	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005213764337851929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anoxybacillus	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016357688113413304	0.0	0.0	0.0	0.0	0.010438413361169102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anoxybacteroides	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005219206680584551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquabacterium	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002735229759299781	0.00011669973159061734	0.0	0.0002043318348998774	0.0	0.0014054813773717498	0.0	0.0014641288433382138	0.0	0.0	0.0	0.0	0.0	0.0	0.00018583906337112061	0.0	0.0	0.0	0.0	0.0	0.00018264840182648402	0.0	0.0003720238095238095	0.0	0.0	0.0	0.0	0.0002896032435563278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
